20,3,269.884,242
50,7,636.432,3613
23,9,564.687,28838
23,9,563.911,28956
20,3,269.884,146
20,2,284.515,235
20,2,284.515,197
23,9,548.65,54468
50,7,633.982,3232
40,5,514.944,1434
45,5,586.911,1374
16,8,462.689,279093
16,8,462.689,285422
45,5,582.495,9699
60,16,1045.81,775864
45,5,582.495,8761
60,16,1045.81,793727
16,8,462.689,124658
45,5,582.495,100111
45,5,582.495,126775
60,15,1023.91,1.12616e+006
16,8,107.748,2545.8
16,8,107.748,54339.2
16,8,107.748,54428.4
16,8,107.748,1813
16,8,107.748,41904
16,8,383.865,43348
16,8,461.309,1894
16,8,461.309,67680
16,8,461.309,74513
16,8,443.396,84282
16,9,508.853,133964
16,8,461.309,41823.8
16,9,508.853,68542.6
16,9,508.853,69145
16,8,461.309,35518.4
16,8,353.27,35597.4
16,8,353.27,76132
16,8,353.27,73101
16,8,0,10481
16,8,41.6173,71320
16,8,352.275,66613
16,8,392.176,42472.6
16,8,392.176,42108.4
16,8,465.14,42543
16,8,465.14,41929
16,8,465.14,41829.2
16,8,465.14,42639.9
16,8,465.14,9207.5
40,5,514.944,970.2
40,5,514.178,10276
45,5,586.911,2315.8
45,5,582.495,16848
45,5,582.495,3642.8
16,8,462.689,49241.6
16,8,462.689,18287.4
20,2,284.515,49.8
50,7,625.95,10412.4
23,9,561.575,196980
40,5,520.762,124.8
45,5,596.031,1397
50,7,652.746,2263
50,7,652.746,2380
50,7,652.746,2524.2
45,5,596.031,1404
40,5,520.762,109.2
23,9,562.803,191702
50,7,652.746,2250.4
20,2,284.515,62.4
16,8,462.689,21799.6
16,8,462.689,22771.4
16,8,462.689,22121.6
16,8,462.689,21868.6
16,8,462.689,22507.8
16,8,462.689,22860.2
50,7,652.746,2536
50,7,652.746,2779.6
20,2,284.515,49.3
50,7,652.746,2752.5
23,9,562.803,192898
40,5,520.762,109.2
45,5,596.031,1380.3
50,7,652.746,2300.8
60,16,1062.19,287001
101,4,889.118,296.4
76,5,778.386,2654.5
