76,16,1169.26,38422

30,4,546.419,35234
30,4,546.419,92353
30,4,546.419,95201
30,4,546.419,35419
30,4,546.419,94763
30,4,546.419,663609
30,4,546.419,100466
30,4,546.419,36280
30,4,546.419,461774
30,4,546.419,35461
76,16,1169.26,33104
30,4,560.939,1030.6
30,4,560.939,1067.8
76,16,1169.26,33116
101,8,1033.21,3427.1
101,14,1262.54,65888.6
101,14,1262.54,66394.7
101,14,1308.88,88064.2
101,14,1308.88,88530.8
30,4,560.939,2472
76,16,1169.26,14206
101,8,1033.21,1279.2
101,14,1283.33,28628.4
51,5,614.262,608.4
23,3,612.316,327.6
22,4,428.27,889.2
76,16,1185.65,1342.2
101,14,1361.92,6635.6
22,4,428.27,235
23,3,762.296,62.4
30,4,603.055,536.4
51,5,620.881,188.2
76,16,1185.65,1361.2
101,8,1048.97,246
101,14,1361.92,7106
