121,7,1171.56,22459
101,10,860.759,21101
151,12,1226.86,65918
200,17,1516.52,762149
200,17,1536.59,2.1718e+006
101,10,860.759,7170.6
121,7,1175.16,4968.2
151,12,1271.91,3482.8
151,12,1271.91,3442
121,7,1175.16,5334.6
101,10,860.759,7094.4
200,17,1554.95,200112
101,10,860.759,7187.9
151,12,1271.91,3396.5
121,7,1175.16,5375.2
101,10,860.759,2745.6
121,8,1182.13,3647.2
151,12,1271.91,3558.8
151,12,1271.91,3947.8
200,17,1600.81,76733.2
200,17,1600.81,75845.6
200,17,1632.93,21300.4
200,17,1632.93,21599.6
151,12,1343.06,1310.4
151,12,1343.06,1172
101,10,860.759,670.8
121,8,1185.59,1628.8
151,12,1343.06,1269.8
200,17,1632.93,21296.4
200,17,1711.32,19886
200,17,1711.32,19741.7
200,18,1780.48,17916.6
200,18,1697.27,31012.1
200,17,1711.32,20394.6
200,18,1651.07,16877
200,18,1651.07,16387.9
200,18,1651.07,16532.7
200,18,1651.07,16436.3
101,10,860.759,1872
121,8,1203.88,872.8
200,17,1685.53,13418.2
151,12,1372.96,2171.4
200,17,1685.53,13168.4
101,10,860.759,1546.4
200,17,1636.14,63845.4
200,17,1636.14,63414
200,17,1636.14,63145.8
200,17,1685.53,13003.8
200,17,1685.53,13016
200,18,1651.07,16159.8
