65,9,1364.14,8662
32,5,905.395,641
32,5,905.395,791
32,5,893.851,8718
32,5,905.395,2227
32,5,898.028,21291
32,5,893.851,9140
32,5,893.851,17597
32,5,898.028,3977
55,9,1185.57,33612
55,9,1185.57,34669
65,9,1252.46,4310.7
65,9,1364.14,4528
32,5,905.395,93.6
55,9,1212.44,8645.6
55,9,1212.44,8771.6
32,5,905.395,86.4
65,9,1364.14,4556.6
32,5,905.395,78
55,9,1212.44,8982
65,9,1364.14,4315.6
65,9,1360.28,14810.8
80,10,2031.14,3636.8
36,5,894.407,151
38,5,811.537,476
80,10,2031.14,3880
69,9,1373.58,3651
32,5,905.395,15.6
36,5,894.407,31.2
38,5,911.655,124.8
55,9,1369.71,772.8
65,9,1364.14,1105.2
69,9,1403.96,932.8
80,10,2060.28,1083.8
32,5,905.395,46.8
32,5,905.395,31.2
36,5,947.081,15.6
38,6,834.418,109.2
55,10,1240.68,656.2
65,9,1489.63,556.4
69,10,1432.69,593.8
80,10,2250.72,693.4
