50,7,787.574,3354
67,10,1180.52,16701
31,5,680.028,750
78,10,1310.03,20551
52,7,778.516,11101
52,7,778.488,346474
52,7,778.516,11272
45,5,794.45,8104
45,5,794.45,7735
45,7,752.492,25394
45,7,752.492,42579
63,10,1601.29,59550
45,7,752.492,31031
45,7,762.356,4309
45,6,768.638,126514
45,6,768.638,65083
45,6,768.638,65526
45,6,768.638,144400
45,7,752.492,29089
45,7,752.492,28249
45,7,752.492,28484
52,7,778.516,15077
78,10,1310.03,50939
78,10,1287.99,2.10384e+006
44,7,967.51,9152
44,7,967.51,87734
44,7,967.51,3718
44,7,967.51,8947
